FQDN Comments                             date                comment
54.186.200.191                            2022-08-28          ec2-54-186-200-191.us-west-2.compute.amazonaws.com					
54.189.22.122                             2022-08-28          ec2-54-189-22-122.us-west-2.compute.amazonaws.com					
54.190.55.114                             2022-08-28          ec2-54-190-55-114.us-west-2.compute.amazonaws.com					
54.201.106.94                             2022-08-28          ec2-54-201-106-94.us-west-2.compute.amazonaws.com					
54.201.251.93                             2022-08-28          ec2-54-201-251-93.us-west-2.compute.amazonaws.com								
54.202.174.126                            ?                   ?				
54.213.165.20                             2022-08-28          ec2-54-213-165-20.us-west-2.compute.amazonaws.com					
54.214.184.76                             2022-08-28          ec2-54-214-184-76.us-west-2.compute.amazonaws.com					
54.244.40.45                              2022-08-28          ec2-54-244-40-45.us-west-2.compute.amazonaws.com					
54.93.194.3                               2022-08-28          ec2-54-93-194-3.eu-central-1.compute.amazonaws.com									
54.93.218.87                              2022-08-28          ec2-54-93-218-87.eu-central-1.compute.amazonaws.com		

